siteID,labno,dateOn,dateOff,yrmonth,ph,Conduc,flagCa,Ca,flagMg,Mg,flagK,K,flagNa,Na,flagNH4,NH4,flagNO3,NO3,flagCl,Cl,flagSO4,SO4,flagBr,Br,svol,ppt,subppt,valcode,invalcode,modifiedOn
CO10,NS4544SW,"1999-02-02 21:20","1999-02-09 18:20",199902,5.080,4.600," ",.048," ",.003," ",.003," ",.008," ",.020," ",.420," ",.040," ",.190,0,-9,470.100,-9.990,6.924,"w ","            ",2000-03-01
CO10,NS4735SW,"1999-02-09 18:20","1999-02-16 18:23",199902,4.710,11.100," ",.140," ",.010," ",.006," ",.015," ",.040," ",1.680," ",.050," ",.130,0,-9,307.600,-9.990,4.530,"w ","            ",2000-03-01
CO10,NS5102SW,"1999-02-16 18:23","1999-02-23 17:50",199902,4.740,10.900," ",.099," ",.009," ",.012," ",.030," ",.080," ",1.040," ",.120," ",.530,0,-9,879.600,16.510,16.510,"w ","            ",2000-03-01
CO10,NS5201SW,"1999-02-23 17:50","1999-03-02 17:50",199902,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,.000,.000,.000,"d ","            ",2000-03-01
CO10,NS5588SW,"1999-03-02 18:00","1999-03-09 18:10",199903,6.140,6.200," ",.571," ",.045," ",.022," ",.152," ",.110," ",1.160," ",.090," ",.410,0,-9,1025.200,17.272,17.272,"w ","            ",2000-03-01
CO10,NS5698SW,"1999-03-09 18:10","1999-03-16 18:15",199903,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,16.900,.762,.762,"  ","vc          ",2000-03-01
CO10,NS5929SW,"1999-03-16 18:15","1999-03-23 17:40",199903,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,.000,.000,.000,"d ","            ",2000-03-01
CO10,NS6228SW,"1999-03-23 17:40","1999-03-30 18:40",199903,5.120,10.800," ",.503," ",.057," ",.033," ",.115," ",.250," ",1.840," ",.140," ",1.190,0,-9,515.100,9.144,9.144,"w ","            ",2000-03-01
CO10,NS6460SW,"1999-03-30 18:40","1999-04-06 17:13",199904,7.840,60.800," ",10.300," ",.285," ",.365," ",.306," ",.020," ",.490," ",.190," ",2.760,0,-9,695.000,16.256,16.256,"w ","            ",2000-03-01
CO10,NS6622SW,"1999-04-06 17:30","1999-04-13 16:00",199904,6.400,6.000," ",.786," ",.046," ",.029," ",.088," ",.020," ",.610," ",.070," ",.470,0,-9,151.500,8.128,8.128,"w ","            ",2000-03-01
CO10,NS6889SW,"1999-04-13 16:00","1999-04-20 16:15",199904,6.310,5.400," ",.450," ",.027," ",.013," ",.078,<,.070," ",.640,<,.020," ",.370,0,-9,29.600,1.016,1.016,wa,"            ",2002-06-10
CO10,NS7070SW,"1999-04-20 16:15","1999-04-27 17:32",199904,5.790,4.800," ",.255," ",.024," ",.020," ",.075," ",.160," ",.550," ",.100," ",.460,0,-9,2995.100,46.990,46.990,"w ","            ",2000-03-01
CO10,NS7398SW,"1999-04-27 17:32","1999-04-30 22:15",199904,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,2747.100,33.528,33.528,"  ","u           ",
CO10,NS7396SW,"1999-04-30 22:15","1999-05-04 17:15",199905,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000," ",-9.000,0,-9,1738.100,-9.990,25.601,"  ","u           ",
CO10,NS7612SW,"1999-05-04 17:15","1999-05-11 18:45",199905,5.590,4.400," ",.252," ",.030," ",.018," ",.040," ",.060," ",.540," ",.060," ",.400,0,-9,295.700,10.668,10.668,"w ","            ",
CO10,NS7684SW,"1999-05-11 18:45","1999-05-18 17:31",199905,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,.000,.000,.000,"d ","            ",
CO10,NS7996SW,"1999-05-18 17:31","1999-05-25 15:30",199905,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,-9.000,.000,.000,"d ","            ",
CO10,NS8157SW,"1999-05-25 15:40","1999-06-01 15:40",199905,4.800,12.500," ",.226," ",.031," ",.031," ",.038," ",.320," ",1.700," ",.130," ",.860,0,-9,798.100,13.716,13.716,"w ","            ",
CO10,NS8369SW,"1999-06-01 15:40","1999-06-08 16:40",199906,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,291.500,-9.990,4.293,"  ","c           ",
CO10,NS8626SW,"1999-06-08 16:40","1999-06-15 16:26",199906,4.810,13.100," ",.361," ",.042," ",.028," ",.065," ",.250," ",2.140," ",.140," ",.780,0,-9,260.900,5.334,5.334,"w ","            ",
CO10,NS8835SW,"1999-06-15 16:26","1999-06-22 18:08",199906,4.920,9.100," ",.164," ",.023," ",.091," ",.038," ",.140," ",1.020," ",.080," ",.590,0,-9,1135.500,14.478,14.478,"w ","            ",
CO10,NS9026SW,"1999-06-22 18:08","1999-06-29 18:30",199906,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,.000,.000,.000,"d ","            ",
CO10,NS9264SW,"1999-06-29 18:30","1999-07-06 17:55",199907,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,23.400,7.366,7.366,"  ","vu          ",
CO10,NS9579SW,"1999-07-06 17:55","1999-07-13 18:30",199907,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,.000,7.112,7.112,"  ","v           ",
CO10,NS9728SW,"1999-07-13 18:30","1999-07-20 18:20",199907,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,1050.900,24.384,24.384,"  ","vb          ",
CO10,NT0005SW,"1999-07-20 18:20","1999-07-27 17:50",199907,4.820,8.300," ",.046," ",.007," ",.011," ",.014," ",.070," ",.690," ",.040," ",.380,0,-9,1885.100,26.670,26.670,"w ","            ",
CO10,NT0295SW,"1999-07-27 18:00","1999-08-03 22:15",199907,4.690,10.900," ",.066," ",.007," ",.012," ",.009," ",.090," ",1.260," ",.040," ",.380,0,-9,1212.200,-9.990,17.855,"w ","            ",
CO10,NT0456SW,"1999-08-03 22:15","1999-08-10 22:20",199908,4.970,6.400," ",.031," ",.004," ",.006," ",.003," ",.090," ",.610," ",.040," ",.300,0,-9,658.100,-9.990,9.693,"w ","            ",
CO10,NT0675SW,"1999-08-10 22:20","1999-08-17 21:45",199908,4.950,7.300," ",.066," ",.006," ",.009," ",.017," ",.100," ",.640," ",.040," ",.460,0,-9,1662.000,-9.990,24.480,"w ","            ",
CO10,NT0967SW,"1999-08-17 21:45","1999-08-24 21:28",199908,4.770,9.900," ",.075," ",.006," ",.003," ",.012," ",.100," ",.870," ",.040," ",.550,0,-9,1880.400,-9.990,27.697,"w ","            ",
CO10,NT1134SW,"1999-08-24 21:28","1999-08-31 20:25",199908,4.820,9.500," ",.154," ",.013," ",.019," ",.023," ",.150," ",.910," ",.060," ",.630,0,-9,864.100,11.430,11.430,"w ","            ",
CO10,NT1434SW,"1999-08-31 20:25","1999-09-07 22:50",199909,4.880,9.400," ",.126," ",.009," ",.010," ",.029," ",.210," ",.950," ",.060," ",.700,0,-9,883.900,13.462,13.462,"w ","            ",
CO10,NT2590SW,"1999-09-07 22:50","1999-09-14 20:40",199909,5.020,9.000," ",.179," ",.020," ",.079," ",.031," ",.250," ",1.190," ",.090," ",.710,0,-9,354.800,-9.990,5.226,"w ","            ",
CO10,NT1889SW,"1999-09-14 20:40","1999-09-21 17:40",199909,5.230,4.300," ",.046," ",.003,<,.003," ",.006," ",.050," ",.390,<,.030," ",.220,0,-9,2585.500,-9.990,38.083,"w ","            ",
CO10,NT2083SW,"1999-09-21 17:40","1999-09-28 16:19",199909,5.140,7.100," ",.153," ",.012," ",.010," ",.051," ",.170," ",.870," ",.100," ",.460,0,-9,418.300,7.112,7.112,"w ","            ",
CO10,NT2355SW,"1999-09-28 16:19","1999-10-05 23:13",199910,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,.000,.000,.000,"d ","            ",
CO10,NT2595SW,"1999-10-05 23:13","1999-10-12 15:15",199910,5.350,6.100," ",.376," ",.022," ",.017," ",.031," ",.130," ",.810," ",.040," ",.650,0,-9,1866.600,-9.990,27.494,"w ","            ",
CO10,NT2777SW,"1999-10-12 15:15","1999-10-19 15:45",199910,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,-9.000,.000,.000,"d ","            ",
CO10,NT2981SW,"1999-10-19 15:45","1999-10-26 16:15",199910,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,.000,.000,.000,"d ","            ",
CO10,NT3294SW,"1999-10-26 16:15","1999-11-02 15:45",199910,5.310,13.000," ",.853," ",.091," ",.087," ",.099," ",.320," ",2.590," ",.170," ",1.540,0,-9,358.800,-9.990,5.285,"w ","            ",
CO10,NT3628SW,"1999-11-02 15:45","1999-11-09 15:50",199911,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,.000,.000,.000,"d ","            ",
CO10,NT3631SW,"1999-11-09 15:50","1999-11-17 01:41",199911,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,.000,.000,.000,"d ","            ",
CO10,NT3910SW,"1999-11-17 01:41","1999-11-23 15:10",199911,6.140,5.500," ",.640," ",.037," ",.042," ",.034," ",.040," ",1.070," ",.040," ",.360,0,-9,895.400,14.478,14.478,"w ","            ",
CO10,NT4051SW,"1999-11-23 15:20","1999-12-01 03:20",199911,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,.000,.000,.000,"d ","            ",
CO10,NT4374SW,"1999-12-01 03:20","1999-12-07 20:40",199912,5.870,3.400," ",.304," ",.023," ",.018," ",.019,<,.020," ",.551," ",.036," ",.160,0,-9,296.100,5.080,5.080,"w ","            ",
CO10,NT4865SW,"1999-12-07 20:40","1999-12-14 19:50",199912,5.350,4.400," ",.099," ",.008," ",.010," ",.011,<,.020," ",.633,<,.030," ",.099,0,-9,333.400,9.652,9.652,"w ","            ",
CO10,NT4899SW,"1999-12-14 19:50","1999-12-21 19:30",199912,5.250,4.400," ",.077," ",.007," ",.012," ",.022," ",.040," ",.550," ",.038," ",.203,0,-9,264.000,6.858,6.858,"w ","            ",
CO10,NT5251SW,"1999-12-21 19:30","1999-12-29 03:20",199912,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,.000,.000,.000,"d ","            ",
CO10,NT5280SW,"1999-12-29 03:20","2000-01-04 19:45",200001,4.900,6.400," ",.020,<,.003," ",.004," ",.008," ",.039," ",.822," ",.024," ",.092,0,-9,536.000,10.414,10.414,"w ","            ",
CO10,NT5514SW,"2000-01-04 19:45","2000-01-11 19:05",200001,5.360,3.700," ",.118," ",.012," ",.012," ",.036,<,.020," ",.435," ",.061," ",.189,0,-9,58.300,6.858,6.858,"w ","            ",
CO10,NT5769SW,"2000-01-11 19:05","2000-01-18 20:20",200001,4.940,6.700," ",.038,<,.003," ",.011," ",.008," ",.093," ",.432," ",.045," ",.535,0,-9,792.200,12.192,12.192,"w ","            ",
