site_id,date,depth_in
380,10/1/2003,0
380,10/2/2003,0
380,10/3/2003,0
380,10/4/2003,0
380,10/5/2003,0
380,10/6/2003,0
380,10/7/2003,0
380,10/8/2003,0
380,10/9/2003,0
380,10/10/2003,0
380,10/11/2003,0
380,10/12/2003,0
380,10/13/2003,0
380,10/14/2003,0
380,10/15/2003,0
380,10/16/2003,0
380,10/17/2003,0
380,10/18/2003,0
380,10/19/2003,0
380,10/20/2003,0
380,10/21/2003,0
380,10/22/2003,0
380,10/23/2003,0
380,10/24/2003,0
380,10/25/2003,0
380,10/26/2003,0
380,10/27/2003,0
380,10/28/2003,0
380,10/29/2003,0
380,10/30/2003,0
380,10/31/2003,0
380,11/1/2003,0
380,11/2/2003,0
380,11/3/2003,1
380,11/4/2003,-99.9
380,11/5/2003,4
380,11/6/2003,-99.9
380,11/7/2003,4
380,11/8/2003,5
380,11/9/2003,4
380,11/10/2003,7
380,11/11/2003,13
380,11/12/2003,11
380,11/13/2003,8
380,11/14/2003,-99.9
380,11/15/2003,15
380,11/16/2003,12
380,11/17/2003,-99.9
380,11/18/2003,18
380,11/19/2003,15
380,11/20/2003,14
380,11/21/2003,13
380,11/22/2003,12
380,11/23/2003,12
380,11/24/2003,12
380,11/25/2003,12
380,11/26/2003,13
380,11/27/2003,16
380,11/28/2003,15
380,11/29/2003,14
380,11/30/2003,14
380,12/1/2003,13
380,12/2/2003,13
380,12/3/2003,13
380,12/4/2003,13
380,12/5/2003,13
380,12/6/2003,13
380,12/7/2003,12
380,12/8/2003,17
380,12/9/2003,22
380,12/10/2003,21
380,12/11/2003,19
380,12/12/2003,-99.9
380,12/13/2003,19
380,12/14/2003,30
380,12/15/2003,-99.9
380,12/16/2003,25
380,12/17/2003,23
380,12/18/2003,22
380,12/19/2003,21
380,12/20/2003,21
380,12/21/2003,20
380,12/22/2003,-99.9
380,12/23/2003,26
380,12/24/2003,23
380,12/25/2003,22
380,12/26/2003,22
380,12/27/2003,31
380,12/28/2003,30
380,12/29/2003,26
380,12/30/2003,32
380,12/31/2003,38
380,1/1/2004,34
380,1/2/2004,-99.9
380,1/3/2004,46
380,1/4/2004,48
380,1/5/2004,44
380,1/6/2004,43
380,1/7/2004,44
380,1/8/2004,41
380,1/9/2004,38
380,1/10/2004,37
380,1/11/2004,39
380,1/12/2004,38
380,1/13/2004,37
380,1/14/2004,37
380,1/15/2004,34
380,1/16/2004,34
380,1/17/2004,33
380,1/18/2004,-99.9
380,1/19/2004,33
380,1/20/2004,33
380,1/21/2004,39
380,1/22/2004,38
380,1/23/2004,37
380,1/24/2004,36
380,1/25/2004,36
380,1/26/2004,38
380,1/27/2004,37
380,1/28/2004,36
380,1/29/2004,36
380,1/30/2004,35
380,1/31/2004,57
380,2/1/2004,36
380,2/2/2004,37
380,2/3/2004,37
380,2/4/2004,40
380,2/5/2004,42
380,2/6/2004,41
380,2/7/2004,40
380,2/8/2004,39
380,2/9/2004,40
380,2/10/2004,-99.9
380,2/11/2004,-99.9
380,2/12/2004,-99.9
380,2/13/2004,-99.9
380,2/14/2004,-99.9
380,2/15/2004,-99.9
380,2/16/2004,-99.9
380,2/17/2004,-99.9
380,2/18/2004,-99.9
380,2/19/2004,-99.9
380,2/20/2004,-99.9
380,2/21/2004,-99.9
380,2/22/2004,-99.9
380,2/23/2004,-99.9
380,2/24/2004,-99.9
380,2/25/2004,42
380,2/26/2004,41
380,2/27/2004,40
380,2/28/2004,40
380,2/29/2004,43
380,3/1/2004,43
380,3/2/2004,42
380,3/3/2004,42
380,3/4/2004,42
380,3/5/2004,41
380,3/6/2004,42
380,3/7/2004,40
380,3/8/2004,63
380,3/9/2004,39
380,3/10/2004,39
380,3/11/2004,38
380,3/12/2004,38
380,3/13/2004,37
380,3/14/2004,37
380,3/15/2004,33
380,3/16/2004,37
380,3/17/2004,37
380,3/18/2004,37
380,3/19/2004,35
380,3/20/2004,35
380,3/21/2004,34
380,3/22/2004,32
380,3/23/2004,32
380,3/24/2004,30
380,3/25/2004,28
380,3/26/2004,29
380,3/27/2004,27
380,3/28/2004,31
380,3/29/2004,30
380,3/30/2004,27
380,3/31/2004,27
380,4/1/2004,26
380,4/2/2004,24
380,4/3/2004,24
380,4/4/2004,24
380,4/5/2004,27
380,4/6/2004,26
380,4/7/2004,26
380,4/8/2004,26
380,4/9/2004,-99.9
380,4/10/2004,29
380,4/11/2004,32
380,4/12/2004,-99.9
380,4/13/2004,28
380,4/14/2004,26
380,4/15/2004,25
380,4/16/2004,24
380,4/17/2004,22
380,4/18/2004,21
380,4/19/2004,20
380,4/20/2004,19
380,4/21/2004,18
380,4/22/2004,23
380,4/23/2004,28
380,4/24/2004,26
380,4/25/2004,24
380,4/26/2004,22
380,4/27/2004,20
380,4/28/2004,18
380,4/29/2004,16
380,4/30/2004,20
380,5/1/2004,17
380,5/2/2004,15
380,5/3/2004,13
380,5/4/2004,11
380,5/5/2004,9
380,5/6/2004,7
380,5/7/2004,-99.9
380,5/8/2004,-99.9
380,5/9/2004,-99.9
380,5/10/2004,-99.9
380,5/11/2004,-99.9
380,5/12/2004,0
380,5/13/2004,0
380,5/14/2004,0
380,5/15/2004,0
380,5/16/2004,0
380,5/17/2004,0
380,5/18/2004,0
380,5/19/2004,0
380,5/20/2004,0
380,5/21/2004,0
380,5/22/2004,0
380,5/23/2004,0
380,5/24/2004,0
380,5/25/2004,0
380,5/26/2004,0
380,5/27/2004,0
380,5/28/2004,0
380,5/29/2004,0
380,5/30/2004,0
380,5/31/2004,0
380,6/1/2004,0
380,6/2/2004,0
380,6/3/2004,0
380,6/4/2004,0
380,6/5/2004,0
380,6/6/2004,0
380,6/7/2004,0
380,6/8/2004,0
380,6/9/2004,0
380,6/10/2004,0
380,6/11/2004,0
380,6/12/2004,0
380,6/13/2004,0
380,6/14/2004,0
380,6/15/2004,0
380,6/16/2004,0
380,6/17/2004,0
380,6/18/2004,0
380,6/19/2004,0
380,6/20/2004,0
380,6/21/2004,0
380,6/22/2004,0
380,6/23/2004,0
380,6/24/2004,0
380,6/25/2004,0
380,6/26/2004,0
380,6/27/2004,0
380,6/28/2004,0
380,6/29/2004,0
380,6/30/2004,0
380,7/1/2004,0
380,7/2/2004,0
380,7/3/2004,0
380,7/4/2004,0
380,7/5/2004,0
380,7/6/2004,0
380,7/7/2004,0
380,7/8/2004,0
380,7/9/2004,0
380,7/10/2004,0
380,7/11/2004,0
380,7/12/2004,0
380,7/13/2004,0
380,7/14/2004,0
380,7/15/2004,0
380,7/16/2004,0
380,7/17/2004,0
380,7/18/2004,0
380,7/19/2004,0
380,7/20/2004,0
380,7/21/2004,0
380,7/22/2004,0
380,7/23/2004,0
380,7/24/2004,0
380,7/25/2004,0
380,7/26/2004,0
380,7/27/2004,0
380,7/28/2004,0
380,7/29/2004,0
380,7/30/2004,0
380,7/31/2004,0
380,8/1/2004,0
380,8/2/2004,0
380,8/3/2004,0
380,8/4/2004,0
380,8/5/2004,0
380,8/6/2004,0
380,8/7/2004,0
380,8/8/2004,0
380,8/9/2004,0
380,8/10/2004,0
380,8/11/2004,0
380,8/12/2004,0
380,8/13/2004,0
380,8/14/2004,0
380,8/15/2004,0
380,8/16/2004,0
380,8/17/2004,0
380,8/18/2004,0
380,8/19/2004,0
380,8/20/2004,0
380,8/21/2004,0
380,8/22/2004,0
380,8/23/2004,0
380,8/24/2004,0
380,8/25/2004,0
380,8/26/2004,0
380,8/27/2004,0
380,8/28/2004,0
380,8/29/2004,0
380,8/30/2004,0
380,8/31/2004,0
380,9/1/2004,0
380,9/2/2004,0
380,9/3/2004,0
380,9/4/2004,0
380,9/5/2004,0
380,9/6/2004,0
380,9/7/2004,0
380,9/8/2004,0
380,9/9/2004,0
380,9/10/2004,0
380,9/11/2004,0
380,9/12/2004,0
380,9/13/2004,0
380,9/14/2004,0
380,9/15/2004,0
380,9/16/2004,0
380,9/17/2004,0
380,9/18/2004,0
380,9/19/2004,0
380,9/20/2004,0
380,9/21/2004,0
380,9/22/2004,0
380,9/23/2004,0
380,9/24/2004,0
380,9/25/2004,0
380,9/26/2004,0
380,9/27/2004,0
380,9/28/2004,0
380,9/29/2004,0
380,9/30/2004,0
380,9/30/2004,-99.9
380,10/1/2004,0
380,10/2/2004,0
380,10/3/2004,0
380,10/4/2004,0
380,10/5/2004,0
380,10/6/2004,0
380,10/7/2004,0
380,10/8/2004,0
380,10/9/2004,0
380,10/10/2004,0
380,10/11/2004,0
380,10/12/2004,0
380,10/13/2004,0
380,10/14/2004,0
380,10/15/2004,0
380,10/16/2004,0
380,10/17/2004,0
380,10/18/2004,0
380,10/19/2004,0
380,10/20/2004,0
380,10/21/2004,0
380,10/22/2004,0
380,10/23/2004,0
380,10/24/2004,0
380,10/25/2004,0
380,10/26/2004,0
380,10/27/2004,0
380,10/28/2004,0
380,10/29/2004,2
380,10/30/2004,-99.9
380,10/31/2004,-99.9
380,11/1/2004,-99.9
380,11/2/2004,-99.9
380,11/3/2004,-99.9
380,11/4/2004,4
380,11/5/2004,4
380,11/6/2004,5
380,11/7/2004,4
380,11/8/2004,4
380,11/9/2004,2
380,11/10/2004,6
380,11/11/2004,6
380,11/12/2004,5
380,11/13/2004,6
380,11/14/2004,5
380,11/15/2004,6
380,11/16/2004,5
380,11/17/2004,6
380,11/18/2004,6
380,11/19/2004,6
380,11/20/2004,4
380,11/21/2004,-99.9
380,11/22/2004,12
380,11/23/2004,11
380,11/24/2004,12
380,11/25/2004,11
380,11/26/2004,-99.9
380,11/27/2004,15
380,11/28/2004,-99.9
380,11/29/2004,33
380,11/30/2004,24
380,1/21/2005,45
380,1/22/2005,44
380,1/23/2005,43
380,1/24/2005,42
380,1/25/2005,42
380,1/26/2005,41
380,1/27/2005,41
380,1/28/2005,41
380,1/29/2005,41
380,1/30/2005,40
380,1/31/2005,41
380,2/1/2005,42
380,2/2/2005,41
380,2/3/2005,41
380,2/4/2005,40
380,2/5/2005,40
380,2/6/2005,40
380,2/7/2005,40
380,2/8/2005,-99.9
380,2/9/2005,-99.9
380,2/10/2005,44
380,2/11/2005,43
380,2/12/2005,42
380,2/13/2005,43
380,2/14/2005,43
380,2/15/2005,42
380,2/16/2005,43
380,2/17/2005,51
380,2/18/2005,50
380,2/19/2005,50
380,2/20/2005,-99.9
380,2/21/2005,60
380,2/22/2005,58
380,2/23/2005,57
380,2/24/2005,60
380,2/25/2005,58
380,2/26/2005,56
380,2/27/2005,55
380,2/28/2005,54
380,3/1/2005,53
380,3/2/2005,55
380,3/3/2005,53
380,3/4/2005,53
380,3/5/2005,51
380,3/6/2005,51
380,3/7/2005,48
380,3/8/2005,49
380,3/9/2005,48
380,3/10/2005,48
380,3/11/2005,47
380,3/12/2005,46
380,3/13/2005,46
380,3/14/2005,46
380,3/15/2005,46
380,3/16/2005,45
380,3/17/2005,45
380,3/18/2005,45
380,3/19/2005,46
380,3/20/2005,46
380,3/21/2005,54
380,3/22/2005,52
380,3/23/2005,49
380,3/24/2005,54
380,3/25/2005,64
380,3/26/2005,62
380,3/27/2005,59
380,3/28/2005,57
380,3/29/2005,56
380,3/30/2005,55
380,3/31/2005,57
380,4/1/2005,56
380,4/2/2005,53
380,4/3/2005,52
380,4/4/2005,50
380,4/5/2005,50
380,4/6/2005,49
380,4/7/2005,48
380,4/8/2005,47
380,4/9/2005,46
380,4/10/2005,45
380,4/11/2005,44
380,4/12/2005,45
380,4/13/2005,43
380,4/14/2005,42
380,4/15/2005,40
380,4/16/2005,39
380,4/17/2005,37
380,4/18/2005,34
380,4/19/2005,33
380,4/20/2005,31
